"dispatching_base_num","pickup_datetime","dropOff_datetime","PUlocationID","DOlocationID","SR_Flag","Affiliated_base_number"
"B01536",2020-04-07 09:11:37.000000,2020-04-07 09:19:23.000000,264,235,,"B01536"
"B02416",2020-04-03 18:48:41.000000,2020-04-03 19:07:53.000000,,,,
"B03160",2020-04-10 15:27:00.000000,2020-04-10 15:43:00.000000,41,69,,"B02569"
"B02735",2020-04-09 20:39:37.000000,2020-04-09 21:06:27.000000,,119,,"B01313"
"B02735",2020-04-15 07:04:24.000000,2020-04-15 07:16:54.000000,,200,,"B02735"
"B00789",2020-04-14 15:32:00.000000,2020-04-14 16:03:51.000000,,,,"B00789"
"B00900",2020-04-25 14:39:51.000000,2020-04-25 14:52:30.000000,264,160,,"B00900"
"B00457",2020-04-29 10:19:49.000000,2020-04-29 10:25:52.000000,,244,,"B00457"
"B01145",2020-04-05 02:06:32.000000,2020-04-05 02:18:35.000000,264,42,,"B02836"
"B02537",2020-04-19 13:11:44.000000,2020-04-19 13:17:03.000000,,241,,"B02537"
"B01145",2020-04-18 12:21:25.000000,2020-04-18 12:36:16.000000,264,47,,"B02971"
"B01145",2020-04-09 17:56:41.000000,2020-04-09 18:12:56.000000,264,42,,"B02875"
"B00310",2020-04-23 13:46:09.000000,2020-04-23 13:57:53.000000,264,78,,"B03047"
"B01239",2020-04-14 02:16:18.000000,2020-04-14 02:28:11.000000,,69,,"B02765"
"B00477",2020-04-15 16:21:40.000000,2020-04-15 17:10:44.000000,88,265,,"B00477"
"B02461",2020-04-28 22:19:09.000000,2020-04-28 22:37:21.000000,264,254,,"B02461"
"B02930",2020-04-29 18:55:34.000000,2020-04-29 19:09:53.000000,264,78,,"B02930"
"B01233",2020-04-27 12:55:19.000000,2020-04-27 13:01:07.000000,264,81,,"B01233"
"B00856",2020-04-13 10:35:31.000000,2020-04-13 10:40:32.000000,264,76,,"B02872"
"B01239",2020-04-21 14:30:23.000000,2020-04-21 14:36:08.000000,,51,,"B02882"
"B02735",2020-04-10 00:50:38.000000,2020-04-10 01:01:47.000000,,81,,"B02888"
"B01328",2020-04-20 04:44:00.000000,2020-04-20 05:05:00.000000,37,212,,"B02534"
"B01051",2020-04-14 06:39:10.000000,2020-04-14 06:43:47.000000,,18,,"B01051"
"B01710",2020-04-26 10:25:19.000000,2020-04-26 10:31:30.000000,264,264,,"B01710"
"B02550",2020-04-16 13:49:17.000000,2020-04-16 13:56:38.000000,,20,,"B03136"
"B01958",2020-04-04 10:25:00.000000,2020-04-04 10:48:00.000000,,,,"B02878"
"B01239",2020-04-28 11:01:40.000000,2020-04-28 11:16:43.000000,,47,,"B01239"
"B01259",2020-04-18 11:42:32.000000,2020-04-18 11:59:36.000000,264,77,,"B01259"
"B02794",2020-04-06 01:16:09.000000,2020-04-06 01:24:09.000000,264,61,,"B02520"
"B02461",2020-04-29 16:00:53.000000,2020-04-29 16:05:00.000000,264,214,,"B02461"
"B01454",2020-04-24 23:35:02.000000,2020-04-24 23:52:16.000000,264,188,,"B01454"
"B03166",2020-04-27 10:35:35.000000,2020-04-27 11:07:41.000000,67,140,,"B03166"
"B01145",2020-04-01 23:45:11.000000,2020-04-01 23:49:09.000000,264,159,,"B02864"
"B02003",2020-04-22 04:48:16.000000,2020-04-22 06:33:44.000000,,,,"B02003"
"B01470         ",2020-04-15 15:31:12.000000,2020-04-15 16:09:44.000000,191,19,,"B01470         "
"B00296",2020-04-24 21:47:46.000000,2020-04-24 22:23:25.000000,,,,"B00296"
"B03017",2020-04-16 16:01:19.000000,2020-04-16 16:11:09.000000,213,235,,"B03017"
"B02243",2020-04-20 07:33:46.000000,2020-04-20 08:02:22.000000,212,228,,"B02243"
"B01196",2020-04-16 13:58:04.000000,2020-04-16 14:09:14.000000,264,213,,"B01196"
"B00647",2020-04-11 07:28:00.000000,2020-04-11 07:37:57.000000,264,18,,"B00647"
"B01145",2020-04-05 02:34:06.000000,2020-04-05 02:39:13.000000,264,167,,"B02876"
"B02279         ",2020-04-24 06:54:08.000000,2020-04-24 07:02:40.000000,187,187,,"B02279         "
"B02715",2020-04-14 12:45:14.000000,2020-04-14 13:09:45.000000,141,225,,"B02876"
"B02563",2020-04-11 20:57:10.000000,2020-04-11 20:57:13.000000,264,198,,"B02563"
"B00856",2020-04-12 19:52:10.000000,2020-04-12 20:03:49.000000,264,198,,"B02872"
"B01726",2020-04-11 08:08:43.000000,2020-04-11 08:13:29.000000,,119,,"B01726"
"B03016",2020-04-05 16:36:37.000000,2020-04-05 16:41:20.000000,,3,,"B03016"
"B02461",2020-04-19 11:57:32.000000,2020-04-19 12:01:08.000000,264,244,,"B02461"
"B00706",2020-04-22 22:47:49.000000,2020-04-22 22:50:29.000000,221,206,,"B00706"
"B00856",2020-04-15 21:09:03.000000,2020-04-15 21:15:06.000000,264,76,,"B02875"
"B00647",2020-04-13 12:44:15.000000,2020-04-13 13:01:16.000000,264,243,,"B00647"
"B03107",2020-04-16 06:44:56.000000,2020-04-16 07:24:12.000000,212,68,,"B03107"
"B02947",2020-04-29 08:30:00.000000,2020-04-29 09:08:12.000000,117,75,,"B02947"
"B03017",2020-04-30 08:52:26.000000,2020-04-30 09:40:31.000000,97,159,,"B03017"
"B02550",2020-04-09 12:37:33.000000,2020-04-09 12:56:32.000000,,83,,"B02550"
"B00160",2020-04-03 13:36:00.000000,2020-04-03 13:46:00.000000,264,264,,"B00160"
"B01231",2020-04-02 07:57:16.000000,2020-04-02 08:01:44.000000,264,256,,"B02836"
"B01239",2020-04-02 05:21:39.000000,2020-04-02 05:33:53.000000,,174,,"B02875"
"B01811",2020-04-16 16:25:23.000000,2020-04-16 16:30:42.000000,264,169,,"B01811"
"B02107",2020-04-20 13:11:17.000000,2020-04-20 13:16:21.000000,,60,,"B02107"
"B01389",2020-04-15 09:13:50.000000,2020-04-15 09:16:02.000000,,20,,"B01389"
"B02133",2020-04-15 08:58:25.000000,2020-04-15 09:32:47.000000,264,264,,"B02844"
"B03016",2020-04-03 09:09:41.000000,2020-04-03 09:10:31.000000,,254,,"B03016"
"B01469",2020-04-20 23:11:39.000000,2020-04-20 23:14:54.000000,264,63,,"B01469"
"B01061",2020-04-14 18:09:54.000000,2020-04-14 18:28:33.000000,264,265,,"B01061"
"B02550",2020-04-23 08:02:37.000000,2020-04-23 08:07:12.000000,,193,,"B02844"
"B02437",2020-04-03 12:49:48.000000,2020-04-03 13:10:18.000000,264,241,,"B02437"
"B01051",2020-04-26 01:40:44.000000,2020-04-26 01:45:36.000000,,20,,"B01051"
"B00448",2020-04-06 16:11:29.000000,2020-04-06 16:38:02.000000,,89,,"B00628"
"B00887",2020-04-01 08:14:42.000000,2020-04-01 08:43:43.000000,,17,,"B00887"
"B00906",2020-04-01 10:27:22.000000,2020-04-01 10:42:45.000000,179,157,,"B00906"
"B03016",2020-04-15 20:39:07.000000,2020-04-15 20:45:06.000000,,81,,"B03016"
"B02138",2020-04-23 08:38:28.000000,2020-04-23 08:58:08.000000,264,228,,"B02138"
"B00221",2020-04-09 10:37:07.000000,2020-04-09 10:39:31.000000,,244,,"B00221"
"B01738",2020-04-22 10:35:51.000000,2020-04-22 10:43:15.000000,264,173,,"B01738"
"B01239",2020-04-24 15:41:21.000000,2020-04-24 15:51:19.000000,,265,,"B02878"
"B02709",2020-04-20 15:03:59.000000,2020-04-20 15:17:04.000000,264,264,,"B02709"
"B01051",2020-04-25 07:53:13.000000,2020-04-25 08:03:34.000000,,185,,"B01051"
"B01239",2020-04-03 11:28:48.000000,2020-04-03 11:39:30.000000,,51,,"B01239"
"B02968",2020-04-30 20:28:17.000000,2020-04-30 20:36:14.000000,264,126,,"B02968"
"B01726",2020-04-26 17:19:08.000000,2020-04-26 17:26:33.000000,,248,,"B01726"
"B01145",2020-04-06 15:13:39.000000,2020-04-06 15:29:08.000000,264,136,,"B02879"
"B02826",2020-04-23 12:52:04.000000,2020-04-23 12:54:25.000000,,49,,"B02826"
"B02550",2020-04-29 13:29:32.000000,2020-04-29 13:37:49.000000,,174,,"B02875"
"B03164",2020-04-16 15:28:16.000000,2020-04-16 15:34:33.000000,264,32,,"B03164"
"B01469",2020-04-03 11:36:49.000000,2020-04-03 11:38:56.000000,264,77,,"B02884"
"B02243",2020-04-02 14:21:27.000000,2020-04-02 15:18:01.000000,79,254,,"B02243"
"B03017",2020-04-27 12:20:07.000000,2020-04-27 12:30:39.000000,212,242,,"B03017"
"B01907",2020-04-12 22:56:31.000000,2020-04-12 23:24:17.000000,,37,,"B02682"
"B03160",2020-04-15 12:40:00.000000,2020-04-15 12:53:00.000000,168,213,,"B02759"
"B02550",2020-04-09 04:56:31.000000,2020-04-09 05:18:29.000000,,198,,"B01066"
"B02509",2020-04-27 11:26:13.000000,2020-04-27 12:17:47.000000,264,237,,"B02928"
"B01899",2020-04-25 10:04:14.000000,2020-04-25 10:47:00.000000,264,264,,"B01899"
"B00900",2020-04-01 13:12:51.000000,2020-04-01 13:20:13.000000,264,197,,"B00900"
"B01469",2020-04-09 08:34:20.000000,2020-04-09 08:37:22.000000,264,63,,"B00821"
"B02794",2020-04-28 21:05:10.000000,2020-04-28 21:37:43.000000,264,83,,"B02617"
"B02735",2020-04-05 13:57:55.000000,2020-04-05 14:37:10.000000,,240,,"B02864"
"B01312",2020-04-27 15:59:48.000000,2020-04-27 16:02:18.000000,264,217,,"B02764"
"B02437",2020-04-03 11:03:42.000000,2020-04-03 11:13:51.000000,264,42,,"B02437"
"B02803",2020-04-23 20:35:23.000000,2020-04-23 20:47:40.000000,169,126,,"B02803"
"B02534",2020-04-27 05:54:00.000000,2020-04-27 06:03:00.000000,94,78,,"B02534"
"B01726",2020-04-11 09:44:49.000000,2020-04-11 09:54:56.000000,,241,,"B01726"
"B01079",2020-04-28 05:55:18.000000,2020-04-28 06:06:16.000000,264,170,,"B01079"
"B01777",2020-04-26 21:05:24.000000,2020-04-26 21:08:44.000000,,235,,"B01777"
"B00789",2020-04-22 07:50:23.000000,2020-04-22 08:26:02.000000,,,,"B00789"
"B01420",2020-04-25 12:03:00.000000,2020-04-25 12:25:00.000000,,,,"B01420"
"B01964",2020-04-02 10:25:00.000000,2020-04-02 10:51:40.000000,10,138,,"B01964"
"B01482",2020-04-25 08:19:00.000000,2020-04-25 08:36:00.000000,264,264,,"B01482"
"B02509",2020-04-01 09:49:42.000000,2020-04-01 10:01:29.000000,264,174,,"B02877"
"B01777",2020-04-05 08:09:19.000000,2020-04-05 08:17:04.000000,,42,,"B01777"
"B00882",2020-04-23 23:22:23.000000,2020-04-23 23:23:07.000000,,41,,"B00882"
"B00412",2020-04-21 09:18:51.000000,2020-04-21 09:24:39.000000,264,264,,"B01899"
"B02550",2020-04-16 19:32:19.000000,2020-04-16 19:54:42.000000,,221,,"B02788"
"B02997",2020-04-08 13:24:56.000000,2020-04-08 14:20:39.000000,,254,,"B01087"
"B03016",2020-04-29 06:25:53.000000,2020-04-29 06:53:39.000000,,185,,"B02875"
"B01315",2020-04-03 10:24:57.000000,2020-04-03 10:46:02.000000,264,182,,"B01315"
"B01239",2020-04-15 22:51:38.000000,2020-04-15 23:09:15.000000,,242,,"B01239"
"B00856",2020-04-29 18:30:21.000000,2020-04-29 18:37:58.000000,264,177,,"B02872"
"B01843",2020-04-18 11:37:00.000000,2020-04-18 14:07:00.000000,,,,
"B02846",2020-04-15 12:03:49.000000,2020-04-15 12:30:20.000000,264,169,,"B02846"
"B02550",2020-04-23 10:03:07.000000,2020-04-23 10:06:43.000000,,244,,"B02876"
"B01065",2020-04-07 07:33:05.000000,2020-04-07 07:38:05.000000,264,74,,"B01065"
"B00412",2020-04-25 15:17:39.000000,2020-04-25 16:30:01.000000,264,264,,"B00412"
"B01065",2020-04-03 18:44:51.000000,2020-04-03 19:03:34.000000,264,120,,"B01065"
"B01717",2020-04-03 07:46:23.000000,2020-04-03 08:00:22.000000,264,41,,"B01717"
"B01312",2020-04-20 13:44:35.000000,2020-04-20 14:07:27.000000,264,55,,"B02207"
"B02826",2020-04-09 06:33:02.000000,2020-04-09 06:37:24.000000,,188,,"B02826"
"B02803",2020-04-03 09:15:00.000000,2020-04-03 09:20:17.000000,47,167,,"B02803"
"B01312",2020-04-06 08:37:00.000000,2020-04-06 08:47:22.000000,264,121,,"B03266"
"B02331",2020-04-24 17:53:48.000000,2020-04-24 18:05:40.000000,264,228,,"B02331"
"B00706",2020-04-26 20:58:49.000000,2020-04-26 21:14:51.000000,206,156,,"B00706"
"B02898",2020-04-30 09:17:29.000000,2020-04-30 09:22:32.000000,,41,,"B02898"
"B01346",2020-04-15 09:37:20.000000,2020-04-15 09:47:01.000000,,33,,"B01346"
"B02133",2020-04-14 12:13:02.000000,2020-04-14 12:21:53.000000,264,264,,"B01899"
"B01145",2020-04-05 04:01:51.000000,2020-04-05 04:13:19.000000,264,244,,"B02847"
"B00821",2020-04-29 09:50:36.000000,2020-04-29 10:01:34.000000,264,63,,"B00821"
"B02534",2020-04-09 13:36:00.000000,2020-04-09 13:49:00.000000,213,185,,"B02534"
"B03164",2020-04-20 07:24:48.000000,2020-04-20 07:39:21.000000,264,126,,"B03164"
"B00856",2020-04-06 12:36:42.000000,2020-04-06 12:49:06.000000,264,35,,"B02884"
"B01340",2020-04-10 16:33:45.000000,2020-04-10 16:53:46.000000,264,47,,"B01340"
"B03016",2020-04-01 08:09:17.000000,2020-04-01 08:18:04.000000,,174,,"B02875"
"B00856",2020-04-27 22:07:45.000000,2020-04-27 22:27:43.000000,264,89,,"B02887"
"B01339",2020-04-26 07:40:09.000000,2020-04-26 07:46:52.000000,,42,,"B01339"
"B02634",2020-04-25 12:27:07.000000,2020-04-25 12:28:19.000000,264,167,,"B02634"
"B01338",2020-04-15 15:45:31.000000,2020-04-15 15:58:25.000000,,169,,"B01338"
"B00277",2020-04-02 08:25:13.000000,2020-04-02 08:49:35.000000,,,,"B00277"
"B01437",2020-04-24 20:57:56.000000,2020-04-24 21:10:42.000000,264,76,,"B01626"
"B00706",2020-04-18 19:17:35.000000,2020-04-18 19:27:26.000000,221,206,,"B00706"
"B02846",2020-04-11 10:24:23.000000,2020-04-11 11:03:27.000000,264,61,,"B02878"
"B02803",2020-04-18 05:45:34.000000,2020-04-18 05:48:46.000000,42,42,,"B02803"
"B00856",2020-04-09 23:35:49.000000,2020-04-09 23:50:42.000000,264,39,,"B02875"
"B00821",2020-04-27 14:05:05.000000,2020-04-27 14:27:38.000000,264,33,,"B00821"
"B01745",2020-04-09 17:04:10.000000,2020-04-09 17:08:11.000000,,216,,"B01745"
"B00900",2020-04-04 15:02:21.000000,2020-04-04 15:07:33.000000,264,197,,"B00900"
"B00900",2020-04-25 08:30:18.000000,2020-04-25 08:39:31.000000,264,124,,"B00900"
"B02550",2020-04-13 05:06:43.000000,2020-04-13 05:20:28.000000,,212,,"B02875"
"B00860",2020-04-28 06:12:26.000000,2020-04-28 06:26:42.000000,264,147,,"B00860"
"B01984",2020-04-02 11:29:00.000000,2020-04-02 11:41:00.000000,,227,,"B01984"
"B01016",2020-04-04 13:42:43.000000,2020-04-04 13:46:58.000000,264,76,,"B01016"
"B01315",2020-04-15 17:54:20.000000,2020-04-15 17:58:27.000000,264,182,,"B01315"
"B01239",2020-04-04 17:53:25.000000,2020-04-04 18:13:07.000000,,254,,"B02877"
"B02735",2020-04-25 05:43:29.000000,2020-04-25 05:54:26.000000,,248,,"B02335"
"B01239",2020-04-22 18:49:49.000000,2020-04-22 19:07:15.000000,,41,,"B02875"
"B01536",2020-04-26 16:15:07.000000,2020-04-26 16:22:40.000000,264,247,,"B01536"
"B03016",2020-04-22 01:30:45.000000,2020-04-22 01:39:56.000000,,259,,"B02888"
"B03127",2020-04-18 10:20:33.000000,2020-04-18 10:40:03.000000,,219,,"B03127"
"B00900",2020-04-14 16:18:51.000000,2020-04-14 16:39:14.000000,264,35,,"B00900"
"B01995         ",2020-04-23 19:04:14.000000,2020-04-23 19:09:41.000000,173,173,,"B01995         "
"B03160",2020-04-17 04:58:00.000000,2020-04-17 09:12:00.000000,222,61,,"B02879"
"B00381",2020-04-02 23:51:03.000000,2020-04-03 00:15:01.000000,,,,"B00381"
"B02550",2020-04-27 11:14:49.000000,2020-04-27 11:26:31.000000,,242,,"B02534"
"B01239",2020-04-06 19:31:34.000000,2020-04-06 19:46:41.000000,,235,,"B02682"
"B02905",2020-04-28 10:39:31.000000,2020-04-28 10:43:20.000000,,227,,"B02905"
"B02107",2020-04-07 09:55:37.000000,2020-04-07 10:08:47.000000,,42,,"B02107"
"B01145",2020-04-01 12:13:25.000000,2020-04-01 12:26:08.000000,264,174,,"B01145"
"B02634",2020-04-17 07:36:51.000000,2020-04-17 07:39:26.000000,264,136,,"B02634"
"B01145",2020-04-18 12:54:51.000000,2020-04-18 13:03:39.000000,264,220,,"B02764"
"B02534",2020-04-29 11:02:00.000000,2020-04-29 11:36:00.000000,244,244,,"B02534"
"B00477",2020-04-10 18:34:37.000000,2020-04-10 18:34:47.000000,229,229,,"B00477"
"B01509",2020-04-21 22:57:24.000000,2020-04-21 23:02:05.000000,264,165,,"B01509"
"B00821",2020-04-28 09:43:22.000000,2020-04-28 10:06:30.000000,264,258,,"B00821"
"B01118",2020-04-27 17:31:06.000000,2020-04-27 17:57:29.000000,264,76,,"B01739"
"B01051",2020-04-30 06:36:15.000000,2020-04-30 06:47:44.000000,,126,,"B01051"
"B01339",2020-04-06 10:10:27.000000,2020-04-06 10:27:08.000000,,94,,"B01339"
"B02182",2020-04-14 08:02:17.000000,2020-04-14 08:07:15.000000,264,264,,"B01899"
"B01338",2020-04-04 08:09:31.000000,2020-04-04 08:23:35.000000,,60,,"B01338"
"B02067",2020-04-10 17:03:19.000000,2020-04-10 18:28:10.000000,264,265,,"B02067"
"B00449",2020-04-24 20:02:10.000000,2020-04-24 20:15:21.000000,123,108,,"B00449"
"B02162",2020-04-16 05:46:24.000000,2020-04-16 05:46:25.000000,264,168,,"1UBER"
"B02437",2020-04-14 12:04:40.000000,2020-04-14 12:06:44.000000,264,169,,"B02437"
"B02003",2020-04-10 11:50:16.000000,2020-04-10 12:04:35.000000,,,,"B02003"
"B02292",2020-04-24 14:15:09.000000,2020-04-24 14:36:53.000000,264,97,,"B02765"
"B00821",2020-04-13 19:27:09.000000,2020-04-13 19:34:46.000000,264,124,,"B02826"
"B02279         ",2020-04-23 14:00:59.000000,2020-04-23 14:07:00.000000,187,187,,"B02279         "
"B02735",2020-04-09 14:31:34.000000,2020-04-09 14:54:55.000000,,254,,"B02879"
"B02531",2020-04-17 12:30:00.000000,2020-04-17 13:30:00.000000,92,265,,"B02531"
"B03061",2020-04-20 08:51:55.000000,2020-04-20 09:02:40.000000,247,244,,"B03061"
"B02003",2020-04-03 12:52:43.000000,2020-04-03 12:52:48.000000,,,,"B02003"
"B01339",2020-04-26 17:28:14.000000,2020-04-26 17:37:02.000000,,152,,"B01339"
"B01091",2020-04-08 11:56:28.000000,2020-04-08 12:06:36.000000,264,264,,"B01091"
"B02794",2020-04-20 18:01:19.000000,2020-04-20 18:12:52.000000,264,61,,"B02887"
"B01239",2020-04-21 16:57:08.000000,2020-04-21 17:00:15.000000,,32,,"B02879"
"B02461",2020-04-27 10:35:09.000000,2020-04-27 10:41:06.000000,264,244,,"B02461"
"B01145",2020-04-01 18:52:24.000000,2020-04-01 18:58:35.000000,264,159,,"B02875"
"B03138",2020-04-15 17:00:00.000000,2020-04-15 17:36:00.000000,264,264,,"B02878"
"B00706",2020-04-19 05:50:11.000000,2020-04-19 05:55:23.000000,221,206,,"B00706"
"B02003",2020-04-21 11:13:55.000000,2020-04-21 11:33:34.000000,,,,"B02003"
"B02735",2020-04-21 14:59:03.000000,2020-04-21 15:07:13.000000,,254,,"B02735"
"B01239",2020-04-24 18:03:54.000000,2020-04-24 18:18:29.000000,,51,,"B02847"
"B03047",2020-04-09 12:20:33.000000,2020-04-09 12:24:07.000000,250,242,,"B03047"
"B02735",2020-04-30 12:28:18.000000,2020-04-30 12:42:48.000000,,213,,"B02871"
"B01145",2020-04-29 12:12:33.000000,2020-04-29 12:16:49.000000,264,247,,"B02971"
"B01437",2020-04-08 09:45:18.000000,2020-04-08 09:55:34.000000,264,180,,"B02836"
"B01469",2020-04-07 05:59:23.000000,2020-04-07 06:03:44.000000,264,76,,"B02867"
"B03060",2020-04-10 09:06:19.000000,2020-04-10 09:21:30.000000,264,71,,"B03060"
"B01984",2020-04-08 14:17:00.000000,2020-04-08 14:29:00.000000,,228,,"B01984"
"B00855",2020-04-01 07:00:00.000000,2020-04-01 07:30:00.000000,86,117,,"B00855"
"B02794",2020-04-27 11:17:20.000000,2020-04-27 11:46:51.000000,264,17,,"B02492"
"B03033",2020-04-18 10:43:51.000000,2020-04-18 11:00:10.000000,264,222,,"B03033"
"B01239",2020-04-14 21:28:03.000000,2020-04-14 21:41:38.000000,,47,,"B02875"
"B02509",2020-04-25 10:58:40.000000,2020-04-25 11:04:45.000000,264,147,,"B02864"
"B00310",2020-04-24 20:45:44.000000,2020-04-24 20:55:29.000000,264,167,,"B00310"
"B00821",2020-04-17 20:31:34.000000,2020-04-17 20:43:37.000000,264,102,,"B00821"
"B00647",2020-04-11 05:41:11.000000,2020-04-11 05:46:55.000000,264,78,,"B00647"
"B03016",2020-04-08 14:44:25.000000,2020-04-08 14:58:33.000000,,147,,"B02879"
"B03061",2020-04-17 09:03:34.000000,2020-04-17 09:24:33.000000,33,206,,"B03061"
"B03266",2020-04-25 11:07:19.000000,2020-04-25 11:15:20.000000,179,7,,"B03266"
"B01454",2020-04-06 20:49:15.000000,2020-04-06 21:00:21.000000,264,62,,"B01454"
"B00013",2020-04-25 17:52:50.000000,2020-04-25 18:13:51.000000,,,,"B00013"
"B00445",2020-04-17 13:48:12.000000,2020-04-17 13:48:21.000000,16,92,,"B00445"
"B02534",2020-04-01 11:59:00.000000,2020-04-01 12:41:00.000000,3,74,,"B02534"
"B00856",2020-04-10 10:08:13.000000,2020-04-10 10:30:28.000000,264,35,,"B02875"
"B01239",2020-04-10 13:52:36.000000,2020-04-10 14:04:52.000000,,32,,"B02875"
"B01452",2020-04-29 08:49:11.000000,2020-04-29 09:22:07.000000,206,44,,"B01452"
"B01312",2020-04-24 11:55:53.000000,2020-04-24 12:25:33.000000,264,55,,"B02550"
"B03060",2020-04-20 09:02:07.000000,2020-04-20 09:20:07.000000,264,188,,"B02682"
"B02163",2020-04-04 05:18:26.000000,2020-04-04 05:28:39.000000,264,71,,"B02163"
"B02352",2020-04-14 12:35:10.000000,2020-04-14 12:38:43.000000,,227,,"B02352"
"B00756",2020-04-22 14:16:00.000000,2020-04-22 14:39:00.000000,264,264,,"B02882"
"B02674",2020-04-24 22:07:06.000000,2020-04-24 22:20:00.000000,121,130,,"B02674"
"B01145",2020-04-14 07:43:17.000000,2020-04-14 07:52:20.000000,264,169,,"B02875"
"B02794",2020-04-14 22:58:26.000000,2020-04-14 23:12:09.000000,264,222,,"B02617"
"B02783",2020-04-08 17:43:36.000000,2020-04-08 18:01:51.000000,264,32,,"B02783"
"B01200",2020-04-24 07:51:21.000000,2020-04-24 07:59:47.000000,264,198,,"B01200"
"B00254",2020-04-29 08:39:57.000000,2020-04-29 08:53:51.000000,48,141,,"B00254"
"B01239",2020-04-12 16:50:01.000000,2020-04-12 16:59:42.000000,,259,,"B02877"
"B02849",2020-04-27 09:36:56.000000,2020-04-27 09:40:28.000000,264,217,,"B02849"
"B01087",2020-04-30 19:41:18.000000,2020-04-30 20:08:05.000000,265,68,,"B01087"
"B00310",2020-04-17 05:53:09.000000,2020-04-17 05:57:52.000000,264,126,,"B02887"
"B01231",2020-04-21 08:31:23.000000,2020-04-21 08:53:41.000000,264,61,,"B02918"
